"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
15237,"2020 Mahindra Thar LX 4-Str Hard Top AT BSVI","₹ 14 Lakh","2020","1997 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Petrol","150bhp",4,"","SUV","Delhi"
15240,"2018 Toyota Innova Crysta 2.4 GX MT BSIV","₹ 14.35 Lakh","2018","2393 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","147.8bhp",7,"13.68 kmpl","MUV","Delhi"
15242,"2020 Hyundai Creta S BSVI","₹ 13.58 Lakh","2020","1497 cc","Third Party insurance","Manual","30,000 Kms","Second Owner","Petrol","113.18bhp",5,"","SUV","Delhi"
15243,"2020 Maruti Eeco 7 Seater Standard BSIV","₹ 4.50 Lakh","2020","1196 cc","Third Party insurance","Manual","1,00,000 Kms","First Owner","Petrol","73bhp",7,"15.37 kmpl","Minivans","Delhi"
15245,"2018 Maruti Swift VXI","₹ 6 Lakh","2018","1197 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Hatchback","Delhi"
15252,"2018 Hyundai i20 1.4 Sportz","₹ 5.90 Lakh","2018","1396 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Diesel","88.73bhp",5,"22.54 kmpl","Hatchback","Delhi"
15256,"2020 Maruti Wagon R CNG LXI Opt","₹ 5.50 Lakh","2020","998 cc","Third Party insurance","Manual","30,000 Kms","First Owner","CNG","58.33bhp",5,"32.52 kmpl","Hatchback","Delhi"
15257,"2020 Datsun GO Plus T Option","₹ 5.80 Lakh","2020","1198 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","67.05bhp",7,"19.02 kmpl","MUV","Delhi"
15268,"2018 Maruti Vitara Brezza LDi","₹ 6 Lakh","2018","1248 cc","Third Party insurance","Manual","90,000 Kms","First Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Delhi"
15272,"2018 Hyundai Xcent 1.2 CRDi E Plus","₹ 4.25 Lakh","2018","1186 cc","Third Party insurance","Manual","1,20,000 Kms","First Owner","Diesel","73.97bhp",5,"25.4 kmpl","Sedan","Delhi"
16016,"2018 Maruti SX4 S Cross Zeta DDiS 200 SH","₹ 7.20 Lakh","2018","1248 cc","Third Party insurance","Manual","90,000 Kms","Second Owner","Diesel","88.5bhp",5,"25.1 kmpl","SUV","Mumbai"
16024,"2018 Toyota Fortuner 2.8 4WD AT BSIV","₹ 36 Lakh","2018","2755 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Diesel","174.5bhp",7,"15.04 kmpl","SUV","Mumbai"
16029,"2019 Honda WR-V Alive Edition S","₹ 7.47 Lakh","2019","1199 cc","Third Party insurance","Manual","10,000 Kms","First Owner","Petrol","88.7bhp",5,"17.5 kmpl","Hatchback","Mumbai"
16031,"2020 MG Hector Hybrid Sharp MT BSIV","₹ 15.25 Lakh","2020","1451 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","141bhp",5,"15.81 kmpl","SUV","Mumbai"
